radians	I
3.574217	73.831000
3.584565	73.552540
3.594913	71.619410
3.605261	71.222620
3.615609	70.720930
3.625957	69.537350
3.636305	69.128000
3.646653	69.066150
3.657002	69.164000
3.667350	69.760870
3.677698	70.889370
3.688046	70.524280
3.698394	70.714290
3.708742	70.707500
3.719090	70.571600
3.729438	70.306800
3.739786	70.254430
3.750134	70.123970
3.760482	70.671520
3.770830	70.719110
3.781178	70.816280
3.791526	70.277100
3.801874	70.355660
3.812222	70.191140
3.822570	70.333780
3.832918	70.024480
3.843267	69.808560
3.853615	69.835300
3.863963	69.698410
3.874311	69.669990
3.884659	70.076500
3.895007	70.024720
3.905355	70.247660
3.915703	70.342230
3.926051	70.768220
3.936399	70.671040
3.946747	70.677610
3.957095	70.435970
3.967443	70.308390
3.977791	70.623120
3.988139	70.639960
3.998487	70.832010
4.008835	70.676410
4.019183	71.163060
4.029532	71.142000
4.039880	71.425900
4.050228	71.643280
4.060576	72.076070
4.070924	72.001840
4.081272	71.897410
4.091620	71.449730
4.101968	71.117870
4.112316	70.701350
4.122664	70.579100
4.133012	70.532680
4.143360	70.537420
4.153708	70.661000
4.164056	71.095340
4.174404	71.551970
4.184752	72.172390
4.195100	72.091910
4.205448	72.108920
4.215797	72.585910
4.226145	72.467970
4.236493	73.258540
4.246841	73.545200
4.257189	74.246350
4.267537	74.142540
4.277885	74.694580
4.288233	75.022130
4.298581	75.227250
4.308929	75.670660
4.319277	75.879930
4.329625	76.330260
4.339973	76.616100
4.350321	77.140750
4.360669	77.785100
4.371017	78.470180
4.381365	79.374110
4.391713	80.221330
4.402061	81.116420
4.412410	81.592250
4.422758	82.204420
4.433106	83.011600
4.443454	84.521500
4.453802	86.267320
4.464150	88.012670
4.474498	91.103210
4.484846	92.645910
4.495194	93.880520
4.505542	94.837270
4.515890	94.510120
4.526238	93.692830
4.536586	92.073040
4.546934	90.647980
4.557282	88.365490
4.567630	86.571140
4.577978	85.275850
4.588326	84.116000
4.598675	83.166080
4.609023	82.218120
4.619371	81.424450
4.629719	80.840450
4.640067	80.215350
4.650415	79.779210
4.660763	79.174950
4.671111	78.483960
4.681459	77.935880
4.691807	77.290880
4.702155	76.970600
4.712503	76.267440
4.722851	76.094410
4.733199	75.777620
4.743547	75.459550
4.753895	75.088740
4.764243	74.681660
4.774591	74.752130
4.784940	74.131130
4.795288	73.559850
4.805636	72.795460
4.815984	72.271160
4.826332	71.991770
4.836680	71.948460
4.847028	71.757680
4.857376	71.346510
4.867724	71.070170
4.878072	70.503170
4.888420	70.129950
4.898768	69.772030
4.909116	69.459980
4.919464	69.167560
4.929812	68.906490
4.940160	68.749610
4.950508	68.352250
4.960856	67.664600
4.971204	67.540370
4.981553	67.053080
4.991901	66.859600
5.002249	66.492230
5.012597	66.330710
5.022945	65.980380
5.033293	65.633910
5.043641	65.458010
5.053989	65.513000
5.064337	65.709190
5.074685	65.713040
5.085033	65.515430
5.095381	65.435140
5.105729	65.052130
5.116077	64.838270
5.126425	64.653840
5.136773	64.688720
5.147121	64.555270
5.157469	64.345880
5.167818	63.848970
5.178166	63.439130
5.188514	63.039500
5.198862	62.920410
5.209210	62.875710
5.219558	62.976170
5.229906	63.004390
5.240254	62.470290
5.250602	62.068850
5.260950	61.434860
5.271298	61.214340
5.281646	60.953350
5.291994	60.921030
5.302342	60.753470
5.312690	60.559080
5.323038	60.280480
5.333386	60.010380
5.343734	59.585530
5.354083	59.364890
5.364431	59.226560
5.374779	59.050170
5.385127	59.070370
5.395475	58.889430
5.405823	58.804910
5.416171	58.607540
5.426519	58.533350
5.436867	58.671250
5.447215	58.757370
5.457563	58.830760
5.467911	58.817650
5.478259	58.479530
5.488607	58.168710
5.498955	57.995630
5.509303	57.877920
5.519651	57.632100
5.529999	57.359490
5.540348	57.123460
5.550696	56.686630
5.561044	56.744900
5.571392	56.654230
5.581740	56.850980
5.592088	56.673620
5.602436	56.385130
5.612784	56.135350
5.623132	56.261480
5.633480	56.510350
5.643828	56.585560
5.654176	56.502850
5.664524	56.386670
5.674872	56.120320
5.685220	56.099450
5.695568	55.984360
5.705916	55.944030
5.716264	55.915700
5.726612	55.866060
5.736961	55.778110
5.747309	55.616200
5.757657	55.474620
5.768005	55.283550
5.778353	55.199970
5.788701	55.381930
5.799049	55.300030
5.809397	55.277080
5.819745	54.923720
5.830093	54.709040
5.840441	54.448340
5.850789	54.434200
5.861137	54.501830
5.871485	54.272180
5.881833	54.185400
5.892181	54.163990
5.902529	54.339490
5.912877	54.609530
5.923226	54.719430
5.933574	54.864520
5.943922	54.718350
5.954270	54.373810
5.964618	53.962120
5.974966	53.875760
5.985314	53.710620
5.995662	53.696480
6.006010	53.805500
6.016358	53.743050
6.026706	53.700730
6.037054	53.602540
6.047402	53.518310
6.057750	53.477560
6.068098	53.316200
6.078446	53.302700
6.088794	53.284990
6.099142	53.292620
6.109491	53.214030
6.119839	53.198020
6.130187	53.093630
6.140535	53.198740
6.150883	53.155590
6.161231	53.246000
6.171579	53.191420
6.181927	53.371200
6.192275	53.282490
6.202623	53.281470
6.212971	53.157730
6.223319	53.001260
6.233667	52.895130
6.244015	52.892290
6.254363	52.955770
6.264711	52.994300
6.275059	52.908570
6.285407	53.060350
6.295755	53.416860
6.306104	54.270040
6.316452	55.209920
6.326800	56.543360
6.337148	57.908390
6.347496	59.312270
6.357844	60.792670
6.368192	61.754960
6.378540	62.359980
6.388888	62.218780
6.399236	61.947260
6.409584	61.373450
6.419932	60.863080
6.430280	60.938980
6.440628	61.609240
6.450976	62.603200
6.461324	63.881060
6.471672	64.434100
6.482020	64.490120
6.492369	63.346360
6.502717	61.788830
6.513065	59.778400
6.523413	57.639940
6.533761	55.834560
6.544109	54.234830
6.554457	53.057310
6.564805	52.496580
6.575153	51.977450
6.585501	51.781880
6.595849	51.517060
6.606197	51.341140
6.616545	51.514090
6.626893	51.455850
6.637241	51.612900
6.647589	51.376920
6.657937	51.260090
6.668285	51.036790
6.678634	50.815930
6.688982	50.680550
6.699330	50.567850
6.709678	50.566940
6.720026	50.584190
6.730374	50.577450
6.740722	50.743030
6.751070	50.882640
6.761418	50.966130
6.771766	51.019500
6.782114	51.122480
6.792462	51.123510
6.802810	51.322500
6.813158	51.404190
6.823506	51.287550
6.833854	51.175100
6.844202	51.071180
6.854550	51.104160
6.864899	51.017690
6.875247	50.975940
6.885595	50.955810
6.895943	50.890910
6.906291	50.973220
6.916639	50.964720
6.926987	51.066850
6.937335	51.056810
6.947683	51.069890
6.958031	51.014900
6.968379	50.906880
6.978727	50.830140
6.989075	50.909370
6.999423	50.857310
7.009771	50.934930
7.020119	51.027370
7.030467	51.105490
7.040815	51.018160
7.051163	50.880290
7.061512	50.784540
7.071860	50.918820
7.082208	50.879280
7.092556	51.037900
7.102904	51.028020
7.113252	51.224700
7.123600	51.466480
7.133948	51.616600
7.144296	51.831640
7.154644	52.007600
7.164992	52.280390
7.175340	52.528370
7.185688	52.732470
7.196036	52.966400
7.206384	53.076600
7.216732	53.248430
7.227080	53.385310
7.237428	53.380990
7.247777	53.399570
7.258125	53.284500
7.268473	53.368980
7.278821	53.357060
7.289169	53.290370
7.299517	53.161820
7.309865	53.081290
7.320213	53.091800
7.330561	53.056930
7.340909	53.293730
7.351257	53.287480
7.361605	53.600630
7.371953	54.045120
7.382301	54.773840
7.392649	55.537050
7.402997	56.044120
7.413345	56.283180
7.423693	56.487500
7.434042	56.621430
7.444390	56.931620
7.454738	56.996850
7.465086	57.061860
7.475434	57.016350
7.485782	56.961160
7.496130	56.955210
7.506478	56.891070
7.516826	56.992740
7.527174	57.350360
7.537522	57.615740
7.547870	57.995450
7.558218	58.508950
7.568566	59.093880
7.578914	60.156180
7.589262	61.413930
7.599610	63.046110
7.609958	64.823170
7.620306	66.151190
7.630655	66.985190
7.641003	67.076160
7.651351	66.283620
7.661699	65.104350
7.672047	63.657130
7.682395	62.444820
7.692743	61.173950
7.703091	60.284940
7.713439	59.838580
7.723787	59.523860
7.734135	59.390320
7.744483	59.168610
7.754831	59.023440
7.765179	58.990390
7.775527	58.996780
7.785875	59.097190
7.796223	59.415290
7.806571	59.801880
7.816920	60.329880
7.827268	60.851940
7.837616	61.042240
7.847964	61.336980
7.858312	61.535200
7.868660	61.788170
7.879008	62.036210
7.889356	62.311500
7.899704	62.690090
7.910052	63.002650
7.920400	63.465400
7.930748	64.023480
7.941096	64.561280
7.951444	65.110630
7.961792	65.897990
7.972140	66.476150
7.982488	67.271790
7.992836	68.205730
8.003185	69.053470
8.013533	70.517490
8.023881	71.566010
8.034229	73.109430
8.044577	74.951630
8.054925	76.911740
8.065273	79.840840
8.075621	82.542370
8.085969	85.676470
8.096317	89.891680
8.106665	93.969330
8.117013	100.438800
8.127361	108.240200
8.137709	117.290400
8.148057	132.969600
8.158405	149.460100
8.168753	175.108900
8.179101	212.531100
8.189450	252.622300
8.199798	319.785700
8.210146	390.438000
8.220494	465.860900
8.230842	559.209100
8.241190	625.830700
8.251538	682.050500
8.261886	709.751800
8.272234	700.446900
8.282582	657.937200
8.292930	593.254600
8.303278	516.562800
8.313626	425.878200
8.323974	356.198700
8.334322	286.306500
8.344670	232.121600
8.355018	195.700200
8.365366	162.608500
8.375714	142.390000
8.386063	128.066100
8.396411	116.349800
8.406759	109.543800
8.417107	103.296400
8.427455	99.534530
8.437803	97.152890
8.448151	95.213110
8.458499	94.193560
8.468847	93.330040
8.479195	92.538320
8.489543	91.441730
8.499891	90.055630
8.510239	88.071630
8.520587	86.222700
8.530935	84.058480
8.541283	82.534650
8.551631	80.927420
8.561979	79.703050
8.572328	78.795720
8.582676	77.889530
8.593024	77.480570
8.603372	77.326330
8.613720	77.667970
8.624068	78.155190
8.634416	78.532260
8.644764	78.759540
8.655112	79.113040
8.665460	79.576940
8.675808	80.257790
8.686156	81.198620
8.696504	81.976620
8.706852	82.896390
8.717200	83.703130
8.727548	84.783360
8.737896	86.022140
8.748244	87.225420
8.758593	88.597560
8.768941	90.140370
8.779289	91.708320
8.789637	93.594210
8.799985	95.871250
8.810333	98.359040
8.820681	101.552300
8.831029	104.805400
8.841377	108.494300
8.851725	113.052700
8.862073	117.849100
8.872421	124.271800
8.882769	131.866400
8.893117	140.395000
8.903465	152.098900
8.913813	165.130700
8.924161	182.410800
8.934509	205.430300
8.944857	234.920700
8.955206	281.456500
8.965554	345.043900
8.975902	441.076100
8.986250	592.079200
8.996598	787.387600
9.006946	1086.917000
