radians	I
24.046290	149.189800
24.101490	174.271300
24.156690	180.905200
24.211890	184.535800
24.267090	186.954500
24.322280	189.416600
24.377480	193.281500
24.432680	197.222500
24.487880	197.619200
24.543080	203.554100
24.598270	208.542600
24.653470	215.663400
24.708670	248.978300
24.763870	492.505300
24.819070	472.781300
24.874260	246.051800
24.929460	225.716600
24.984660	220.841000
25.039860	219.247900
25.095060	219.853500
25.150250	219.551800
25.205450	221.872100
25.260650	222.706000
25.315850	224.108800
25.371050	222.973900
25.426240	225.264900
25.481440	225.093500
25.536640	222.304600
25.591840	224.797700
25.647030	224.209400
25.702230	222.679100
25.757430	223.744500
25.812630	224.304800
25.867830	224.216900
25.923020	224.375300
25.978220	225.511600
26.033420	225.976500
26.088620	225.087300
26.143820	225.332000
26.199010	226.328500
26.254210	226.837700
26.309410	225.574300
26.364610	225.265000
26.419810	225.757100
26.475000	224.507100
26.530200	225.399800
26.585400	223.321500
26.640600	225.330400
26.695800	222.720400
26.750990	223.219400
26.806190	223.076200
26.861390	224.120500
26.916590	222.903200
26.971790	222.577700
27.026980	221.943300
27.082180	223.588800
27.137380	223.025700
27.192580	221.456700
27.247780	221.032000
27.302970	222.754100
27.358170	220.650200
27.413370	219.191800
27.468570	218.188000
27.523770	219.436100
27.578960	220.179600
27.634160	218.815700
27.689360	218.323200
27.744560	217.053700
27.799760	219.207400
27.854950	218.667400
27.910150	217.017400
27.965350	218.491800
28.020550	217.252300
28.075750	215.466400
28.130940	215.918000
28.186140	215.620700
28.241340	216.817100
28.296540	215.279500
28.351740	215.026800
28.406930	215.491500
28.462130	215.907100
28.517330	215.294300
28.572530	216.513400
28.627730	230.213600
28.682920	303.705000
28.738120	308.402300
28.793320	226.913100
28.848520	216.584100
28.903720	213.467700
28.958910	212.363300
29.014110	213.078000
29.069310	211.607000
29.124510	212.160800
29.179710	208.494000
29.234900	209.160600
29.290100	210.176000
29.345300	208.329600
29.400500	208.046500
29.455700	207.023300
29.510890	208.050600
29.566090	207.514800
29.621290	207.529000
29.676490	206.016300
29.731690	206.838000
29.786880	206.467800
29.842080	204.693500
29.897280	205.389600
29.952480	205.108600
30.007680	205.502300
30.062870	203.779500
30.118070	205.010500
30.173270	204.824700
30.228470	205.778600
30.283660	207.435000
30.338860	210.812900
30.394060	230.714800
30.449260	375.160000
30.504460	663.376000
30.559650	286.925200
30.614850	219.174300
30.670050	208.050100
30.725250	203.431800
30.780450	201.062000
30.835640	198.650700
30.890840	197.253200
30.946040	197.181600
31.001240	197.033400
31.056440	196.725400
31.111630	195.726300
31.166830	196.072500
31.222030	196.204400
31.277230	195.784800
31.332430	197.022300
31.387620	196.325900
31.442820	196.255500
31.498020	195.561700
31.553220	194.032900
31.608420	194.275200
31.663610	192.491100
31.718810	192.915500
31.774010	191.705800
31.829210	192.533000
31.884410	193.119500
31.939600	194.098100
31.994800	196.311900
32.050000	199.323700
32.105200	227.283300
32.160400	442.324900
32.215590	503.749500
32.270790	217.587200
32.325990	198.244600
32.381190	193.107200
32.436390	190.658600
32.491580	189.953700
32.546780	188.080100
32.601980	184.922300
32.657180	186.453800
32.712380	186.097600
32.767570	184.756100
32.822770	186.611000
32.877970	185.393400
32.933170	185.694900
32.988370	186.081800
33.043560	182.917800
33.098760	183.694200
33.153960	183.911700
33.209160	183.873200
33.264360	182.910700
33.319550	183.961300
33.374750	185.156300
33.429950	183.910600
33.485150	183.536900
33.540350	185.956100
33.595540	185.044300
33.650740	186.037700
33.705940	195.250500
33.761140	260.158000
33.816340	363.636300
33.871530	220.019000
33.926730	187.792400
33.981930	182.668700
34.037130	180.617500
34.092330	180.877200
34.147520	179.394900
34.202720	178.875100
34.257920	177.126700
34.313120	176.060900
34.368320	178.526200
34.423510	177.777100
34.478710	176.952100
34.533910	176.485700
34.589110	175.731400
34.644310	175.825800
34.699500	175.650100
34.754700	175.882700
34.809900	174.018300
34.865100	174.637000
34.920300	173.059700
34.975490	174.298600
35.030690	173.710600
35.085890	173.145000
35.141090	171.914700
35.196280	171.174100
35.251480	173.158300
35.306680	183.007200
35.361880	196.983400
35.417080	177.585200
35.472270	171.878300
35.527470	169.913200
35.582670	169.137300
35.637870	169.397300
35.693070	169.187000
35.748260	166.718300
35.803460	167.815500
35.858660	167.264300
35.913860	167.539000
35.969060	165.161600
36.024250	164.916900
36.079450	164.974700
36.134650	164.840800
36.189850	166.093500
36.245050	166.231700
36.300240	164.679900
36.355440	164.680600
36.410640	163.947600
36.465840	163.921100
36.521040	163.433700
36.576230	162.275700
36.631430	164.207200
36.686630	163.402700
36.741830	169.796800
36.797030	207.075200
36.852220	276.926800
36.907420	191.918000
36.962620	166.564300
37.017820	161.851800
37.073020	161.044100
37.128210	161.183200
37.183410	160.293200
37.238610	159.127700
37.293810	158.397200
37.349010	158.578300
37.404200	158.368300
37.459400	158.079300
37.514600	158.456800
37.569800	154.626700
37.625000	144.018500
37.680190	145.920000
37.735390	141.789900
37.790590	123.664900
