radians	I
24.053190	156.000300
24.122190	177.429900
24.191190	184.005400
24.260190	187.433700
24.329180	190.995000
24.398180	195.852200
24.467180	198.075300
24.536180	202.992200
24.605170	209.840900
24.674170	220.330400
24.743170	343.264200
24.812170	545.493900
24.881160	258.003800
24.950160	227.772800
25.019160	222.092000
25.088160	220.520300
25.157150	221.914400
25.226150	222.889700
25.295150	224.306800
25.364150	225.092000
25.433140	225.824400
25.502140	226.438600
25.571140	227.135400
25.640140	227.567700
25.709130	225.901200
25.778130	225.854700
25.847130	226.189500
25.916130	227.532000
25.985120	227.829700
26.054120	227.466200
26.123120	225.664200
26.192110	226.175100
26.261110	227.722600
26.330110	227.374000
26.399110	226.921200
26.468100	226.741300
26.537100	227.643600
26.606100	225.933900
26.675100	226.187400
26.744090	227.259500
26.813090	224.705900
26.882090	224.735000
26.951090	225.184100
27.020080	224.704000
27.089080	223.134700
27.158080	223.179400
27.227080	223.910000
27.296070	222.639500
27.365070	221.878100
27.434070	220.556600
27.503070	221.003500
27.572060	221.140800
27.641060	220.601200
27.710060	220.832100
27.779060	220.683200
27.848050	220.129400
27.917050	220.082100
27.986050	218.961900
28.055050	217.912700
28.124040	219.065600
28.193040	217.763400
28.262040	217.818300
28.331040	217.569400
28.400030	216.221200
28.469030	216.652800
28.538030	217.501300
28.607030	223.553100
28.676020	287.317400
28.745020	371.800700
28.814020	224.586200
28.883020	217.541000
28.952010	214.925600
29.021010	213.261500
29.090010	213.867700
29.159010	210.741300
29.228000	210.160000
29.297000	210.453500
29.366000	211.092300
29.435000	210.904600
29.503990	210.379000
29.572990	208.365200
29.641990	207.929500
29.710990	207.412100
29.779980	208.032500
29.848980	207.177300
29.917980	207.106400
29.986980	205.812200
30.055970	205.784800
30.124970	206.203800
30.193970	207.847700
30.262970	207.688800
30.331960	212.178700
30.400960	232.387100
30.469960	477.803400
30.538960	503.846000
30.607950	228.690600
30.676950	209.572900
30.745950	204.480200
30.814950	203.429900
30.883940	199.263400
30.952940	198.728300
31.021940	199.178800
31.090940	198.138600
31.159930	197.207700
31.228930	197.631600
31.297930	198.098100
31.366930	198.237000
31.435920	196.838300
31.504920	195.227600
31.573920	194.625900
31.642920	194.262800
31.711910	193.578700
31.780910	194.508800
31.849910	194.292600
31.918910	194.965400
31.987900	194.962800
32.056900	200.860300
32.125900	254.020100
32.194890	476.169700
32.263890	258.529500
32.332890	200.637600
32.401890	192.584400
32.470880	190.645300
32.539880	190.095000
32.608880	188.264300
32.677880	187.943100
32.746870	187.520800
32.815870	186.712800
32.884870	187.099700
32.953870	187.324100
33.022860	186.891200
33.091860	186.324000
33.160860	185.843700
33.229860	184.827000
33.298850	185.914300
33.367850	185.269000
33.436850	185.727800
33.505850	185.854100
33.574840	186.085600
33.643840	187.405300
33.712840	196.452100
33.781840	333.227400
33.850830	303.709400
33.919830	193.930400
33.988830	185.841800
34.057830	181.976500
34.126820	179.656100
34.195820	179.699500
34.264820	178.029800
34.333820	179.342800
34.402810	179.892400
34.471810	177.684700
34.540810	177.915100
34.609810	177.299900
34.678800	176.117700
34.747800	176.055800
34.816800	176.278600
34.885800	173.959300
34.954790	174.251200
35.023790	173.328200
35.092790	173.601400
35.161790	173.471100
35.230780	173.783300
35.299780	185.359500
35.368780	204.653800
35.437780	177.350000
35.506770	172.411800
35.575770	170.228000
35.644770	170.533200
35.713770	170.293900
35.782760	169.167200
35.851760	169.490300
35.920760	168.920500
35.989760	167.737000
36.058750	167.413100
36.127750	167.348400
36.196750	167.023100
36.265750	166.435900
36.334740	165.304500
36.403740	165.964000
36.472740	165.671300
36.541740	165.690700
36.610730	164.475400
36.679730	166.634700
36.748730	170.748100
36.817730	220.576800
36.886720	251.601400
36.955720	171.187300
37.024720	163.745600
37.093720	161.714600
37.162710	161.755000
37.231710	159.767100
37.300710	160.118900
37.369710	159.694500
37.438700	159.966400
37.507700	158.194200
37.576700	152.882200
37.645700	146.519900
37.714690	145.007400
37.783690	131.238600
