radians	I
24.046290	166.752300
24.101490	194.469200
24.156690	202.615700
24.211890	207.161500
24.267090	209.030800
24.322280	212.957900
24.377480	215.293800
24.432680	218.419500
24.487880	217.693400
24.543080	222.933600
24.598270	227.304100
24.653470	229.135500
24.708670	232.257000
24.763870	233.176000
24.819070	233.706700
24.874260	238.068000
24.929460	239.225200
24.984660	240.593300
25.039860	241.437800
25.095060	241.828200
25.150250	242.387700
25.205450	243.590300
25.260650	246.625100
25.315850	245.324700
25.371050	247.091500
25.426240	247.993200
25.481440	250.206300
25.536640	254.466900
25.591840	264.486000
25.647030	695.090100
25.702230	1732.262000
25.757430	899.393700
25.812630	322.666300
25.867830	264.577400
25.923020	254.121300
25.978220	252.854800
26.033420	250.583400
26.088620	249.700000
26.143820	248.628900
26.199010	250.027900
26.254210	250.242600
26.309410	249.941600
26.364610	249.417100
26.419810	249.735000
26.475000	248.030700
26.530200	250.468500
26.585400	253.582900
26.640600	247.892300
26.695800	248.134600
26.750990	247.903700
26.806190	247.514500
26.861390	246.734500
26.916590	246.337000
26.971790	247.161300
27.026980	245.375800
27.082180	246.066600
27.137380	244.520000
27.192580	243.947100
27.247780	244.414100
27.302970	244.749700
27.358170	244.628300
27.413370	242.802600
27.468570	241.168900
27.523770	241.230600
27.578960	241.485100
27.634160	240.240400
27.689360	241.867500
27.744560	240.430500
27.799760	240.237300
27.854950	241.957100
27.910150	240.302000
27.965350	238.879300
28.020550	239.589200
28.075750	239.450100
28.130940	239.050600
28.186140	237.709300
28.241340	237.760800
28.296540	237.337200
28.351740	237.741900
28.406930	237.292300
28.462130	236.189400
28.517330	237.460700
28.572530	236.389900
28.627730	235.174400
28.682920	235.021200
28.738120	235.336900
28.793320	233.452500
28.848520	233.880700
28.903720	234.932700
28.958910	233.669200
29.014110	233.085500
29.069310	234.039700
29.124510	232.833600
29.179710	229.210400
29.234900	231.312800
29.290100	231.584700
29.345300	231.256500
29.400500	230.874100
29.455700	231.722400
29.510890	230.157500
29.566090	229.858400
29.621290	228.517500
29.676490	228.476700
29.731690	228.509300
29.786880	227.499400
29.842080	228.858400
29.897280	227.356400
29.952480	227.517300
30.007680	226.572900
30.062870	226.350300
30.118070	226.210600
30.173270	226.201000
30.228470	225.211600
30.283660	225.547100
30.338860	223.382900
30.394060	223.416800
30.449260	223.439200
30.504460	223.583900
30.559650	222.594900
30.614850	222.236800
30.670050	221.658000
30.725250	220.085000
30.780450	221.789500
30.835640	220.244400
30.890840	218.425400
30.946040	221.101300
31.001240	223.065000
31.056440	237.880900
31.111630	498.096000
31.166830	783.855100
31.222030	286.875800
31.277230	230.472200
31.332430	224.429900
31.387620	217.287900
31.442820	217.402000
31.498020	216.915500
31.553220	214.857200
31.608420	216.192800
31.663610	214.777300
31.718810	214.255000
31.774010	214.284700
31.829210	214.120300
31.884410	212.909300
31.939600	212.089900
31.994800	212.828500
32.050000	214.015300
32.105200	213.582100
32.160400	212.632000
32.215590	211.803900
32.270790	211.222700
32.325990	210.466800
32.381190	210.322100
32.436390	209.308000
32.491580	210.030600
32.546780	210.010200
32.601980	207.396100
32.657180	208.840800
32.712380	207.672500
32.767570	208.111800
32.822770	207.640500
32.877970	207.431800
32.933170	206.784500
32.988370	208.386500
33.043560	207.774900
33.098760	208.389800
33.153960	206.492300
33.209160	206.487800
33.264360	206.845900
33.319550	206.902500
33.374750	206.623900
33.429950	205.094500
33.485150	205.071000
33.540350	206.121100
33.595540	205.898100
33.650740	203.799500
33.705940	203.071000
33.761140	203.502100
33.816340	205.100200
33.871530	206.634500
33.926730	225.428300
33.981930	364.225200
34.037130	877.588400
34.092330	286.489100
34.147520	221.354400
34.202720	207.208300
34.257920	200.998000
34.313120	199.025600
34.368320	201.591700
34.423510	199.992300
34.478710	199.243000
34.533910	198.419100
34.589110	198.755200
34.644310	197.190300
34.699500	196.513800
34.754700	196.955000
34.809900	197.495900
34.865100	195.750700
34.920300	195.483000
34.975490	195.161400
35.030690	195.196400
35.085890	195.440100
35.141090	195.224100
35.196280	194.575100
35.251480	193.840500
35.306680	194.558400
35.361880	193.270200
35.417080	193.083600
35.472270	192.669400
35.527470	191.832700
35.582670	192.201400
35.637870	190.961600
35.693070	190.510800
35.748260	190.202600
35.803460	189.088100
35.858660	190.204900
35.913860	188.194400
35.969060	186.910200
36.024250	188.771700
36.079450	187.960300
36.134650	186.789500
36.189850	186.471400
36.245050	186.609800
36.300240	184.978300
36.355440	186.470900
36.410640	186.566800
36.465840	185.100500
36.521040	183.826500
36.576230	183.111200
36.631430	183.100900
36.686630	182.732800
36.741830	181.950900
36.797030	183.786100
36.852220	183.023200
36.907420	181.260500
36.962620	182.318600
37.017820	181.822400
37.073020	181.399700
37.128210	180.040200
37.183410	181.186900
37.238610	179.355400
37.293810	179.310900
37.349010	179.470000
37.404200	179.440200
37.459400	180.462700
37.514600	178.272500
37.569800	174.876100
37.625000	163.210400
37.680190	164.654500
37.735390	157.944700
37.790590	137.493800
