radians	I
24.046290	734.397900
24.101490	797.504700
24.156690	807.991900
24.211890	813.389600
24.267090	818.529400
24.322280	817.875500
24.377480	826.519800
24.432680	837.766700
24.487880	826.901400
24.543080	838.148400
24.598270	840.608900
24.653470	836.380900
24.708670	832.637300
24.763870	833.013400
24.819070	835.728700
24.874260	839.678500
24.929460	841.727600
24.984660	839.535900
25.039860	837.237500
25.095060	837.197800
25.150250	837.688700
25.205450	837.055500
25.260650	836.176300
25.315850	836.141600
25.371050	836.469300
25.426240	840.395000
25.481440	842.209400
25.536640	841.278600
25.591840	841.783000
25.647030	846.589700
25.702230	851.395900
25.757430	863.848900
25.812630	968.164100
25.867830	1736.727000
25.923020	3084.028000
25.978220	1554.460000
26.033420	938.166500
26.088620	873.749500
26.143820	849.502400
26.199010	846.198300
26.254210	844.713600
26.309410	842.802700
26.364610	840.628700
26.419810	840.704000
26.475000	840.052400
26.530200	838.931100
26.585400	837.467700
26.640600	836.480800
26.695800	837.590000
26.750990	837.562600
26.806190	836.695700
26.861390	836.716300
26.916590	834.267200
26.971790	833.829600
27.026980	834.304800
27.082180	835.102500
27.137380	833.934100
27.192580	832.107400
27.247780	833.371300
27.302970	834.576700
27.358170	834.670800
27.413370	833.375300
27.468570	830.301100
27.523770	830.787800
27.578960	831.063300
27.634160	829.487200
27.689360	829.956900
27.744560	829.148000
27.799760	830.401700
27.854950	827.097300
27.910150	827.876400
27.965350	830.967700
28.020550	828.220800
28.075750	826.394700
28.130940	829.455400
28.186140	830.666100
28.241340	829.029000
28.296540	835.759500
28.351740	839.970900
28.406930	852.680700
28.462130	954.797000
28.517330	1715.956000
28.572530	3000.971000
28.627730	1466.312000
28.682920	913.237500
28.738120	853.457800
28.793320	834.617700
28.848520	827.943400
28.903720	825.770800
28.958910	822.507900
29.014110	820.969800
29.069310	823.025500
29.124510	823.930300
29.179710	821.534000
29.234900	822.686200
29.290100	819.634000
29.345300	819.685800
29.400500	820.396600
29.455700	819.228400
29.510890	816.794600
29.566090	814.634000
29.621290	819.496600
29.676490	818.820900
29.731690	818.101200
29.786880	821.186600
29.842080	819.054500
29.897280	823.938300
29.952480	886.314500
30.007680	1113.850000
30.062870	1011.099000
30.118070	843.032500
30.173270	824.593900
30.228470	817.226700
30.283660	817.119600
30.338860	816.013100
30.394060	819.382100
30.449260	824.418700
30.504460	834.176000
30.559650	923.412900
30.614850	1581.951000
30.670050	2747.516000
30.725250	1355.431000
30.780450	885.706800
30.835640	832.941800
30.890840	816.844200
30.946040	821.584700
31.001240	838.031600
31.056440	1022.285000
31.111630	1663.407000
31.166830	1385.148000
31.222030	873.385300
31.277230	821.595200
31.332430	807.489600
31.387620	804.649500
31.442820	802.698700
31.498020	800.264900
31.553220	798.043800
31.608420	796.892500
31.663610	797.289400
31.718810	798.181800
31.774010	797.605200
31.829210	795.340200
31.884410	792.855200
31.939600	794.567800
31.994800	793.023000
32.050000	790.131600
32.105200	794.038500
32.160400	799.194200
32.215590	797.136600
32.270790	792.672700
32.325990	789.732800
32.381190	791.159300
32.436390	806.264000
32.491580	904.069000
32.546780	934.963300
32.601980	809.421100
32.657180	789.858600
32.712380	788.816100
32.767570	785.968400
32.822770	784.476600
32.877970	785.387900
32.933170	788.696400
32.988370	786.995400
33.043560	782.633400
33.098760	784.596900
33.153960	782.101700
33.209160	781.638200
33.264360	781.196200
33.319550	785.065900
33.374750	792.347400
33.429950	795.757600
33.485150	794.409800
33.540350	791.475300
33.595540	785.715400
33.650740	781.702800
33.705940	779.355900
33.761140	775.661500
33.816340	775.766800
33.871530	775.240800
33.926730	774.787900
33.981930	774.526100
34.037130	777.818400
34.092330	778.135100
34.147520	797.920300
34.202720	935.485500
34.257920	1056.709000
34.313120	846.580700
34.368320	785.823400
34.423510	775.930500
34.478710	770.097900
34.533910	767.655200
34.589110	771.323100
34.644310	769.848700
34.699500	768.931300
34.754700	768.529100
34.809900	768.076700
34.865100	766.848800
34.920300	768.211400
34.975490	766.177400
35.030690	765.660800
35.085890	765.472200
35.141090	765.343900
35.196280	762.328700
35.251480	764.743700
35.306680	762.558300
35.361880	764.034000
35.417080	762.820600
35.472270	762.985500
35.527470	758.564300
35.582670	758.923500
35.637870	761.939900
35.693070	762.124600
35.748260	760.935200
35.803460	762.249100
35.858660	790.859900
35.913860	898.409900
35.969060	868.473900
36.024250	777.266800
36.079450	758.765700
36.134650	755.327900
36.189850	754.198600
36.245050	753.497500
36.300240	751.377400
36.355440	750.229400
36.410640	749.699200
36.465840	750.396500
36.521040	749.984400
36.576230	749.656200
36.631430	749.751600
36.686630	746.809200
36.741830	750.018100
36.797030	748.203600
36.852220	743.676500
36.907420	744.910000
36.962620	745.489900
37.017820	745.728400
37.073020	747.122200
37.128210	748.269500
37.183410	747.154700
37.238610	743.462600
37.293810	745.388400
37.349010	743.379900
37.404200	742.545900
37.459400	749.418200
37.514600	749.212200
37.569800	742.097600
37.625000	704.827500
37.680190	711.921000
37.735390	698.688600
37.790590	631.225100
