    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0, 16.8809961,        3,    65255,   1.0000,    69635,      734,     0000, 4.5973489e-05,        0,        0,        5,    69044,    68654,        0,        0,        0,        0,       -2,     1504,     5575,      775,      762,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1, 16.8859961,        8,    65112,   1.0000,    69611,      734,     0000, 0.00012286522,        0,        0,       10,    68978,    68710,        0,        0,        0,        0,       -2,     1474,     5490,      772,      822,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2, 16.8909961,        3,    65028,   1.0000,    69563,      735,     0000, 4.6133973e-05,        0,        0,        3,    68909,    68663,        0,        0,        0,        0,       -2,     1467,     5404,      813,      739,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 16.8959961,        6,    65061,   1.0000,    69580,      735,     0000, 9.2221146e-05,        0,        0,        6,    68920,    68709,        0,        0,        0,        0,       -2,     1541,     5626,      774,      814,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 16.9009961,        5,    65053,   1.0000,    69572,      735,     0000, 7.6860406e-05,        0,        0,        6,    68923,    68666,        0,        0,        0,        0,       -2,     1450,     5483,      762,      803,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 16.9059961,        5,    65051,   1.0000,    69565,      733,     0000, 7.6862769e-05,        0,        0,        6,    68968,    68608,        0,        0,        0,        0,       -2,     1455,     5437,      743,      782,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 16.9109961,        5,    65092,   1.0000,    69622,      735,     0000, 7.6814355e-05,        0,        0,        5,    68968,    68697,        0,        0,        0,        0,       -2,     1509,     5583,      789,      753,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 16.9159961,        5,    64981,   1.0000,    69505,      734,     0000, 7.6945569e-05,        0,        0,        5,    68843,    68589,        0,        0,        0,        0,       -2,     1468,     5411,      749,      781,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 16.9209961,        5,    64954,   1.0000,    69464,      735,     0000, 7.6977553e-05,        0,        0,        5,    68800,    68542,        0,        0,        0,        0,       -2,     1443,     5493,      745,      752,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 16.9259961,        6,    64931,   1.0000,    69430,      734,     0000, 9.2405785e-05,        0,        0,        7,    68769,    68490,        0,        0,        0,        0,       -2,     1420,     5571,      766,      805,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, 16.9309961,        8,    64993,   1.0000,    69507,      735,     0000, 0.00012309018,        0,        0,        8,    68813,    68576,        0,        0,        0,        0,       -2,     1546,     5575,      828,      784,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, 16.9359961,        6,    64945,   1.0000,    69461,      736,     0000, 9.2385865e-05,        0,        0,        6,    68772,    68506,        0,        0,        0,        0,       -2,     1441,     5341,      765,      684,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
