radians	I
11.495820	15.543790
11.566880	14.832210
11.637950	16.347850
11.709010	15.687610
11.780080	15.663520
11.851140	15.764330
11.922210	15.171880
11.993270	15.018490
12.064330	15.451130
12.135400	15.234300
12.206460	15.442420
12.277530	15.473370
12.348590	15.678370
12.419660	15.276700
12.490720	15.050850
12.561790	15.220370
12.632850	15.194240
12.703920	14.591590
12.774980	14.911200
12.846040	14.715530
12.917110	14.276490
12.988170	14.076490
13.059240	14.434000
13.130300	14.295510
13.201370	14.267320
13.272430	13.845810
13.343500	13.954930
13.414560	13.854850
13.485630	13.736480
13.556690	13.278090
13.627750	13.383700
13.698820	13.615070
13.769880	13.476310
13.840950	13.453520
13.912010	13.430990
13.983080	12.998700
14.054140	13.323350
14.125210	17.397640
14.196270	208.640000
14.267340	423.179200
14.338400	136.494000
14.409460	28.840090
14.480530	13.172780
14.551590	12.645700
14.622660	12.648240
14.693720	12.277880
14.764790	12.078700
14.835850	11.790490
14.906920	11.995510
14.977980	11.856420
15.049040	11.834340
15.120110	11.721150
15.191170	11.441800
15.262240	11.491520
15.333300	11.809480
15.404370	11.366400
15.475430	11.123400
15.546500	11.227710
15.617560	11.199410
15.688630	10.980770
15.759690	10.987010
15.830750	11.134630
15.901820	10.994630
15.972880	10.632800
16.043950	10.675450
16.115010	10.677510
16.186080	10.648610
16.257140	10.324810
16.328210	10.480890
16.399270	10.276510
16.470340	10.402840
16.541400	10.262550
16.612460	10.173330
16.683530	10.310030
16.754590	10.334950
16.825660	10.140980
16.896720	9.918762
16.967790	9.877934
17.038850	9.852246
17.109920	10.039170
17.180980	10.252030
17.252050	9.820134
17.323110	10.620080
17.394170	38.807790
17.465240	233.145100
17.536300	85.771470
17.607370	17.790190
17.678430	9.802415
17.749500	9.492968
17.820560	9.248977
17.891630	9.115687
17.962690	9.174438
18.033760	9.145253
18.104820	9.106308
18.175880	9.372240
18.246950	9.211143
18.318010	8.992294
18.389080	9.023106
18.460140	8.752423
18.531210	9.089267
18.602270	8.996588
18.673340	8.619855
18.744400	8.903645
18.815460	8.588344
18.886530	8.681027
18.957590	8.525433
19.028660	8.270258
19.099720	8.412054
19.170790	8.288637
19.241850	8.435995
19.312920	8.483823
19.383980	8.157005
19.455050	8.183917
19.526110	8.038264
19.597170	8.102714
19.668240	8.263811
19.739300	8.260077
19.810370	8.071238
19.881430	8.053680
19.952500	8.241395
20.023560	8.399409
20.094630	11.718740
20.165690	97.521740
20.236760	86.961480
20.307820	16.900920
20.378880	8.274767
20.449950	8.099216
20.521010	7.571050
20.592080	7.939247
20.663140	7.812966
20.734210	7.737720
20.805270	7.677794
20.876340	7.840554
20.947400	7.429212
21.018470	7.526121
21.089530	7.643943
21.160590	7.441652
21.231660	7.658279
21.302720	7.273170
21.373790	7.349855
21.444850	7.115667
21.515920	7.469571
21.586980	7.322824
21.658050	7.226506
21.729110	6.972168
21.800180	7.141627
21.871240	7.287123
21.942300	7.076488
22.013370	7.131627
22.084430	6.997835
22.155500	7.158565
22.226560	7.059479
22.297630	7.206923
22.368690	7.215409
22.439760	7.412138
22.510820	15.536320
22.581880	219.587000
22.652950	184.429400
22.724010	20.801990
22.795080	7.214519
22.866140	6.750738
22.937210	6.609799
23.008270	6.524545
23.079340	6.659118
23.150400	6.754715
23.221470	6.389352
23.292530	6.357967
23.363590	6.353952
23.434660	6.466575
23.505720	6.342959
23.576790	6.058705
23.647850	6.227653
23.718920	6.381680
23.789980	6.070056
23.861050	6.130719
23.932110	6.323006
24.003180	6.322384
24.074240	6.033373
24.145300	6.011944
24.216370	5.969059
24.287430	6.025594
24.358500	5.902467
24.429560	6.159673
24.500630	6.207614
24.571690	6.176342
24.642760	6.338157
24.713820	14.617300
24.784890	142.316900
24.855950	80.881810
24.927010	9.413940
24.998080	6.140458
25.069140	6.000241
25.140210	5.996672
25.211270	6.013269
25.282340	5.855301
25.353400	5.613760
25.424470	5.578739
25.495530	5.654602
25.566600	5.557942
25.637660	5.548256
25.708720	5.425022
25.779790	5.497233
25.850850	5.616168
25.921920	5.537284
25.992980	5.472383
26.064050	5.518467
26.135110	5.617015
26.206180	5.442739
26.277240	5.506909
26.348300	5.284721
26.419370	5.529504
26.490430	5.483769
26.561500	5.341608
26.632560	5.354616
26.703630	5.578231
26.774690	5.362284
26.845760	5.330456
26.916820	5.328506
26.987890	5.641010
27.058950	5.281410
27.130010	5.169633
27.201080	5.311222
27.272140	5.290095
27.343210	5.214817
27.414270	5.305733
27.485340	5.034407
27.556400	5.342319
27.627470	5.159169
27.698530	5.098409
27.769600	5.162939
27.840660	5.288988
27.911720	4.961544
27.982790	5.058426
28.053850	5.252622
28.124920	5.213570
28.195980	5.250727
28.267050	4.989374
28.338110	5.087258
28.409180	5.294681
28.480240	5.243044
28.551310	5.295713
28.622370	7.542909
28.693430	51.697940
28.764500	41.962660
28.835560	7.404184
28.906630	5.142249
28.977690	5.231943
29.048760	4.871630
29.119820	4.332195
29.190890	3.104461
