radians	I
11.495820	175.419500
11.566880	195.640800
11.637950	202.005900
11.709010	206.049500
11.780080	205.453900
11.851140	208.008700
11.922210	204.741300
11.993270	204.583000
12.064330	206.762700
12.135400	207.246500
12.206460	207.151300
12.277530	211.891500
12.348590	228.791700
12.419660	625.812900
12.490720	9570.438000
12.561790	7266.621000
12.632850	1180.221000
12.703920	236.604400
12.774980	206.262500
12.846040	199.103600
12.917110	196.139300
12.988170	193.068200
13.059240	191.973600
13.130300	191.324500
13.201370	188.000200
13.272430	190.195000
13.343500	187.563800
13.414560	184.122500
13.485630	182.956300
13.556690	181.966400
13.627750	180.580800
13.698820	177.994900
13.769880	177.795000
13.840950	177.207900
13.912010	174.654900
13.983080	174.241700
14.054140	172.259300
14.125210	170.880900
14.196270	170.751200
14.267340	169.660800
14.338400	168.099500
14.409460	168.073400
14.480530	167.120000
14.551590	165.493400
14.622660	165.278500
14.693720	163.714900
14.764790	164.339100
14.835850	162.165900
14.906920	161.832500
14.977980	161.234100
15.049040	160.200100
15.120110	158.180400
15.191170	156.825500
15.262240	157.029100
15.333300	155.260300
15.404370	154.821700
15.475430	154.203400
15.546500	153.704300
15.617560	152.320800
15.688630	151.529600
15.759690	150.168600
15.830750	148.434300
15.901820	147.453200
15.972880	147.413200
16.043950	146.043400
16.115010	145.722700
16.186080	145.275200
16.257140	144.103700
16.328210	143.465600
16.399270	142.521800
16.470340	141.414100
16.541400	141.170900
16.612460	140.684200
16.683530	140.457100
16.754590	139.436200
16.825660	139.531400
16.896720	140.284900
16.967790	191.624700
17.038850	920.794100
17.109920	617.172200
17.180980	210.214200
17.252050	137.697100
17.323110	134.519800
17.394170	133.197000
17.465240	132.305000
17.536300	131.613700
17.607370	130.974500
17.678430	130.943500
17.749500	130.209400
17.820560	128.947300
17.891630	128.170300
17.962690	128.362200
18.033760	128.170500
18.104820	127.418500
18.175880	128.182600
18.246950	133.181800
18.318010	368.672500
18.389080	1014.056000
18.460140	368.058900
18.531210	139.577100
18.602270	125.967800
18.673340	176.990100
18.744400	549.096300
18.815460	293.598000
18.886530	135.953100
18.957590	121.588100
19.028660	120.695600
19.099720	118.833000
19.170790	118.981600
19.241850	117.877800
19.312920	117.510000
19.383980	115.833600
19.455050	117.447700
19.526110	116.385300
19.597170	123.432900
19.668240	374.288800
19.739300	714.877100
19.810370	234.388500
19.881430	117.021300
19.952500	113.099400
20.023560	112.439300
20.094630	113.052000
20.165690	111.809700
20.236760	111.119300
20.307820	110.814500
20.378880	109.407100
20.449950	109.409300
20.521010	109.214100
20.592080	108.926000
20.663140	108.485000
20.734210	107.424700
20.805270	107.234000
20.876340	106.707300
20.947400	106.455200
21.018470	108.119800
21.089530	112.212000
21.160590	311.648800
21.231660	539.134900
21.302720	170.910800
21.373790	106.172800
21.444850	103.154200
21.515920	102.662000
21.586980	102.638200
21.658050	101.402200
21.729110	101.922400
21.800180	100.442300
21.871240	101.009800
21.942300	100.225400
22.013370	99.678360
22.084430	99.296930
22.155500	98.670850
22.226560	98.362340
22.297630	98.277950
22.368690	97.787870
22.439760	96.741640
22.510820	96.397900
22.581880	96.634230
22.652950	96.268290
22.724010	95.436040
22.795080	95.772770
22.866140	97.845480
22.937210	99.383190
23.008270	127.923200
23.079340	1013.495000
23.150400	1761.077000
23.221470	284.836600
23.292530	122.087200
23.363590	130.255600
23.434660	96.959240
23.505720	93.503480
23.576790	91.396850
23.647850	91.720020
23.718920	91.024030
23.789980	90.827340
23.861050	90.881570
23.932110	89.620130
24.003180	89.754890
24.074240	89.219730
24.145300	88.176440
24.216370	88.695540
24.287430	88.611370
24.358500	88.718900
24.429560	87.215320
24.500630	87.662080
24.571690	86.937710
24.642760	86.992870
24.713820	87.170040
24.784890	86.893750
24.855950	86.597720
24.927010	87.060150
24.998080	87.349830
25.069140	97.899660
25.140210	417.840400
25.211270	586.237700
25.282340	139.524200
25.353400	303.713000
25.424470	233.490600
25.495530	90.484870
25.566600	84.712270
25.637660	83.945760
25.708720	83.724090
25.779790	82.490040
25.850850	82.216940
25.921920	82.617450
25.992980	81.963710
26.064050	82.494730
26.135110	93.540700
26.206180	117.557000
26.277240	87.863500
26.348300	82.413760
26.419370	81.495140
26.490430	80.959850
26.561500	80.939880
26.632560	80.820950
26.703630	81.257290
26.774690	81.034650
26.845760	80.876760
26.916820	80.893570
26.987890	81.088410
27.058950	81.002440
27.130010	82.211980
27.201080	87.129360
27.272140	254.958500
27.343210	1502.488000
27.414270	600.980800
27.485340	93.495380
27.556400	82.079400
27.627470	80.490160
27.698530	79.918490
27.769600	78.547160
27.840660	78.780400
27.911720	78.082740
27.982790	78.445790
28.053850	78.546290
28.124920	76.418030
28.195980	76.879300
28.267050	77.055790
28.338110	76.747650
28.409180	76.115490
28.480240	75.396740
28.551310	76.400380
28.622370	75.393780
28.693430	74.741840
28.764500	74.770120
28.835560	75.405590
28.906630	77.570670
28.977690	120.655000
29.048760	334.047100
29.119820	179.539400
29.190890	68.300170
