    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,     TEMP,   TTIMER,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,     19.51,        7,    64747,   1.0000,    69099,      736,     0000, 0.00010811312,        0,        0,        7,    67846,    67542,        0,        0,        0,        0,       -2,     1584,     5794,      794,      812,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1,    19.515,        3,    64653,   1.0000,    69126,      733,     0000, 4.6401559e-05,        0,        0,        3,    67917,    67588,        0,        0,        0,        0,       -2,     1542,     5756,      769,      805,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2,     19.52,        6,    64644,   1.0000,    69140,      734,     0000, 9.2816039e-05,        0,        0,        6,    67968,    67625,        0,        0,        0,        0,       -2,     1491,     5764,      752,      811,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3,    19.525,        3,    64587,   1.0000,    69085,      734,     0000, 4.6448976e-05,        0,        0,        3,    67921,    67610,        0,        0,        0,        0,       -2,     1507,     5649,      792,      789,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4,     19.53,        5,    64561,   1.0000,    69050,      734,     0000, 7.7446136e-05,        0,        0,        6,    67911,    67614,        0,        0,        0,        0,       -2,     1593,     5667,      778,      791,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5,    19.535,        3,    64542,   1.0000,    69033,      734,     0000, 4.6481361e-05,        0,        0,        3,    67891,    67609,        0,        0,        0,        0,       -2,     1545,     5727,      786,      830,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6,     19.54,        6,    64629,   1.0000,    69118,      734,     0000, 9.2837581e-05,        0,        0,        7,    67970,    67710,        0,        0,        0,        0,       -2,     1592,     5659,      814,      802,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7,    19.545,        9,    64629,   1.0000,    69113,      734,     0000, 0.00013925637,        0,        0,        9,    67981,    67717,        0,        0,        0,        0,       -2,     1559,     5851,      778,      782,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8,     19.55,        9,    64622,   1.0000,    69119,      734,     0000, 0.00013927146,        0,        0,       10,    68003,    67716,        0,        0,        0,        0,       -2,     1521,     5641,      738,      780,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9,    19.555,        3,    64696,   1.0000,    69192,      734,     0000, 4.6370718e-05,        0,        0,        3,    68103,    67800,        0,        0,        0,        0,       -2,     1603,     5694,      817,      846,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
