    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,  mpf_top,  mpf_bot,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4
    0,   0.0032,      163,   647116,   5.0000,   689875,     2383,     0000, 0.00025188683,        0,        0,      163,   904391,   902076,        0,        0, 511.47961, 181821.51,        0,        0,      310,    27099,    79941,    18250,    11429,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    1,  35.7290,      181,   645834,   5.0000,   688655,     2404,     0000, 0.00028025778,        0,        0,      181,   902455,   900546,        0,        0, 516.51782, 181857.23,        0,        0,      345,    27619,    80043,    18107,    11564,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    2,  71.4368,      161,   644837,   5.0000,   687407,     2406,     0000, 0.0002496755,        0,        0,      160,   901575,   898221,        0,        0, 521.28119, 181892.94,        0,        0,      311,    27036,    79503,    18095,    11348,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    3, 107.1438,      178,   643870,   5.0000,   686421,     2406,     0000, 0.00027645332,        0,        0,      178,   900727,   897079,        0,        0, 526.56451, 181928.69,        0,        0,      326,    27265,    79451,    18087,    11453,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    4, 142.9034,      175,   646493,   5.0000,   689330,     2387,     0000, 0.00027069125,        0,        0,      175,   903470,   901635,        0,        0, 533.01233, 181964.4,        0,        0,      309,    27241,    79462,    18233,    11315,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    5, 178.6129,      176,   650346,   5.0000,   693266,     2402,     0000, 0.00027062517,        0,        0,      175,   910166,   906373,        0,        0, 538.96759, 182000.14,        0,        0,      311,    27390,    80357,    18016,    11497,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    6, 214.3464,      182,   649540,   5.0000,   692245,     2379,     0000, 0.00028019829,        0,        0,      181,   908675,   905639,        0,        0, 544.1214, 182035.84,        0,        0,      319,    27492,    80065,    18367,    11443,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    7, 250.0574,      166,   648663,   5.0000,   691448,     2378,     0000, 0.000255911,        0,        0,      166,   907136,   904527,        0,        0, 549.02368, 182071.56,        0,        0,      281,    27371,    79956,    18444,    11483,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    8, 285.7696,      178,   647881,   5.0000,   690647,     2367,     0000, 0.00027474181,        0,        0,      178,   906822,   903300,        0,        0, 554.1543, 182107.26,        0,        0,      313,    27444,    80106,    18493,    11557,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
    9, 321.4757,      176,   646698,   5.0000,   689239,     2384,     0000, 0.00027215176,        0,        0,      176,   905260,   901280,        0,        0, 559.8916, 182142.97,        0,        0,      316,    27224,    79802,    18320,    11360,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   10, 357.1776,      162,   645634,   5.0000,   688327,     2380,     0000, 0.00025091615,        0,        0,      162,   903245,   900836,        0,        0, 565.80219, 182178.7,        0,        0,      336,    27385,    79897,    18414,    11672,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
   11, 392.9116,      170,   644771,   5.0000,   687261,     2379,     0000, 0.0002636595,        0,        0,      170,   901925,   899414,        0,        0, 571.52173, 182214.41,        0,        0,      335,    27270,    79907,    18405,    11321,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0
