radians	I
24.156690	181.635800
24.211890	184.722200
24.267090	188.078400
24.322280	190.548900
24.377480	194.186500
24.432680	198.707000
24.487880	198.184800
24.543080	203.772500
24.598270	208.948800
24.653470	215.738000
24.708670	242.080700
24.763870	446.653300
24.819070	535.336100
24.874260	264.417600
24.929460	230.288900
24.984660	224.054200
25.039860	221.501800
25.095060	220.213100
25.150250	221.712100
25.205450	222.346800
25.260650	223.839800
25.315850	225.042800
25.371050	224.811600
25.426240	225.797500
25.481440	226.498800
25.536640	226.666300
25.591840	227.085000
25.647030	227.659400
25.702230	226.062700
25.757430	225.310700
25.812630	226.364600
25.867830	226.672600
25.923020	227.436200
25.978220	227.677200
26.033420	228.025600
26.088620	226.158500
26.143820	225.705600
26.199010	226.352200
26.254210	227.660700
26.309410	227.927600
26.364610	226.863600
26.419810	226.820400
26.475000	226.676400
26.530200	227.403400
26.585400	227.348200
26.640600	225.127600
26.695800	226.423400
26.750990	227.477800
26.806190	224.756400
26.861390	224.935200
26.916590	224.394600
26.971790	225.336100
27.026980	224.739200
27.082180	223.103200
27.137380	222.918400
27.192580	224.002700
27.247780	223.408600
27.302970	222.645900
27.358170	221.746600
27.413370	221.444200
27.468570	220.182800
27.523770	221.068900
27.578960	221.280500
27.634160	220.484800
27.689360	221.479300
27.744560	220.291200
27.799760	220.488400
27.854950	220.063800
27.910150	220.598500
27.965350	218.996200
28.020550	217.903900
28.075750	218.489800
28.130940	219.039600
28.186140	217.998200
28.241340	216.684400
28.296540	218.764800
28.351740	217.300900
28.406930	215.967300
28.462130	216.936300
28.517330	217.078100
28.572530	218.609800
28.627730	228.620800
28.682920	300.080000
28.738120	400.661500
28.793320	234.709200
28.848520	219.172400
28.903720	216.749400
28.958910	214.689800
29.014110	213.363200
29.069310	213.950300
29.124510	212.342500
29.179710	210.116200
29.234900	210.266100
29.290100	210.542900
29.345300	210.511700
29.400500	211.090300
29.455700	211.668000
29.510890	209.723700
29.566090	208.608700
29.621290	207.348800
29.676490	208.077100
29.731690	207.763400
29.786880	207.876300
29.842080	207.048000
29.897280	207.349800
29.952480	206.397900
30.007680	205.957000
30.062870	205.598200
30.118070	206.015800
30.173270	207.842900
30.228470	207.386300
30.283660	208.351500
30.338860	212.805900
30.394060	226.544200
30.449260	335.578300
30.504460	658.886500
30.559650	359.076900
30.614850	223.405400
30.670050	210.497000
30.725250	205.223800
30.780450	203.439400
30.835640	203.179000
30.890840	198.598800
30.946040	198.629900
31.001240	198.933500
31.056440	199.198800
31.111630	197.479300
31.166830	197.325400
31.222030	197.298800
31.277230	198.171700
31.332430	198.330200
31.387620	198.217900
31.442820	196.487600
31.498020	195.316700
31.553220	194.593400
31.608420	194.353800
31.663610	194.504000
31.718810	193.350300
31.774010	194.407500
31.829210	194.343900
31.884410	195.341700
31.939600	194.264700
31.994800	195.053900
32.050000	200.031600
32.105200	216.651200
32.160400	379.728500
32.215590	457.851200
32.270790	232.637400
32.325990	202.076600
32.381190	194.041300
32.436390	190.567600
32.491580	190.876100
32.546780	189.888600
32.601980	188.240600
32.657180	187.999400
32.712380	187.738500
32.767570	187.528000
32.822770	186.545000
32.877970	187.023000
32.933170	187.217400
32.988370	187.592600
33.043560	186.344300
33.098760	186.371800
33.153960	185.672600
33.209160	184.881400
33.264360	185.782700
33.319550	185.788800
33.374750	185.193100
33.429950	186.139000
33.485150	184.872700
33.540350	186.628500
33.595540	186.145500
33.650740	187.554800
33.705940	192.970600
33.761140	266.780100
33.816340	390.838200
33.871530	241.439300
33.926730	192.106200
33.981930	186.056700
34.037130	183.535600
34.092330	180.144600
34.147520	179.510100
34.202720	179.720700
34.257920	178.192600
34.313120	178.384900
34.368320	180.165800
34.423510	179.791500
34.478710	177.152400
34.533910	178.056900
34.589110	177.242500
34.644310	177.022200
34.699500	175.700200
34.754700	176.213900
34.809900	177.033900
34.865100	173.789300
34.920300	173.926600
34.975490	174.305200
35.030690	173.215700
35.085890	173.306100
35.141090	173.704800
35.196280	173.725600
35.251480	174.180000
35.306680	187.858900
35.361880	209.045500
35.417080	180.905800
35.472270	174.472000
35.527470	171.031400
35.582670	170.332400
35.637870	170.585400
35.693070	170.838600
35.748260	169.144400
35.803460	169.369800
35.858660	169.417300
35.913860	169.124700
35.969060	168.017400
36.024250	167.091000
36.079450	167.787200
36.134650	167.253700
36.189850	167.188100
36.245050	165.922100
36.300240	166.702100
36.355440	165.175300
36.410640	165.921700
36.465840	165.549700
36.521040	166.192100
36.576230	164.655000
36.631430	165.015700
36.686630	166.676700
36.741830	169.335200
36.797030	194.184000
36.852220	276.754400
36.907420	207.441000
36.962620	169.963700
37.017820	164.187900
37.073020	162.560200
37.128210	160.870300
37.183410	161.564900
37.238610	159.547400
37.293810	160.216400
37.349010	159.680100
37.404200	160.096200
37.459400	159.239600
37.514600	158.235800
37.569800	155.573100
37.625000	145.123200
37.680190	147.343800
37.735390	142.961200
37.790590	131.736700
